habitaciones;baños;parqueaderos;area_construida;area_privada;estrato;estado;antiguedad;administracion;precio_m2;Ascensor;Circuito cerrado de TV;Parqueadero Visitantes;Portería / Recepción;Zonas Verdes;Salón Comunal;Balcón;Barra estilo americano;Calentador;Chimenea;Citófono;Cocina Integral;Terraza;Vigilancia;Parques cercanos;Estudio;Patio;Depósito / Bodega;nombre;ubicacion;precio
3;3;2;92 m²;92 m²;4;No definida;No definida;$ 440.000 COP;$ 5.978.260,87*m²;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Cedritos;550000000
2;2;1;80 m²;80 m²;6;Excelente;16 a 30 años;$ 890.000 COP;$ 7.437.500*m²;1;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;1;Apartamento;El Virrey;595000000
12;6;1;380 m²;0 m²;3;No definida;1 a 8 años;No definida;$ 1.184.210,53*m²;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Casa;La andrea;450000000
3;2;1;60 m²;60 m²;3;Excelente;9 a 15 años;$ 215.000 COP;$ 4.833.333,33*m²;1;1;0;0;0;1;1;0;1;0;1;1;0;1;0;0;0;0;Apartamento;Sotavento;290000000
5;3;2;200 m²;0 m²;3;No definida;16 a 30 años;No definida;$ 3.750.000*m²;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Casa;Paris gaitan;750000000
1;2;1;56 m²;0 m²;4;Excelente;1 a 8 años;$ 700.000 COP;$ 8.035.714,29*m²;1;1;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;Apartamento;Chapinero Alto;450000000
1;2;2;70 m²;105 m²;1;Excelente;9 a 15 años;$ 320.000 COP;$ 7.857.142,86*m²;1;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;Apartamento;Chico norte;550000000
5;4;1;176 m²;176 m²;3;No definida;más de 30 años;No definida;$ 2.443.181,82*m²;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;Casa;San Andres II Sector;430000000
3;2;1;74 m²;74 m²;4;No definida;16 a 30 años;$ 285.000 COP;$ 4.189.189,19*m²;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Campanella;310000000
3;2;0;55 m²;50 m²;3;Excelente;9 a 15 años;$ 109.000 COP;$ 4.000.000*m²;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;1;0;Apartamento;Zona Noroccidente;220000000
3;2;1;68 m²;68 m²;4;No definida;menor a 1 año;No definida;$ 5.882.352,94*m²;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Alsacia;400000000
11;6;2;320 m²;320 m²;3;Bueno;16 a 30 años;No definida;$ 2.187.500*m²;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;Casa;Santa Rita;700000000
2;2;0;68 m²;68 m²;2;Excelente;menor a 1 año;No definida;$ 2.794.117,65*m²;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Casa;Bosa La Paz;190000000
3;2;1;60 m²;60 m²;3;Excelente;9 a 15 años;$ 215.000 COP;$ 4.833.333,33*m²;1;1;0;0;0;1;1;0;1;0;1;1;0;1;0;0;0;0;Apartamento;Sotavento;290000000
3;2;0;95 m²;9.353 m²;4;Excelente;más de 30 años;$ 85.000 COP;$ 4.052.631,58*m²;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;Apartamento;El Campín;385000000
3;3;1;90 m²;90 m²;3;Excelente;16 a 30 años;$ 290.000 COP;$ 4.833.333,33*m²;0;1;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;Apartamento;Metropolis;435000000
2;3;2;87 m²;85 m²;5;Excelente;1 a 8 años;$ 745.000 COP;$ 5.511.494,25*m²;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Pasadena;479500000
3;2;1;86 m²;80 m²;3;Excelente;1 a 8 años;No definida;$ 3.720.930,23*m²;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;Apartamento;Santa Matilde;320000000
3;3;2;120 m²;120 m²;6;Bueno;16 a 30 años;$ 892.000 COP;$ 5.816.666,67*m²;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;Apartamento;rosales;698000000
3;3;3;212 m²;212 m²;6;Bueno;más de 30 años;$ 1.930.000 COP;$ 5.613.207,55*m²;1;1;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;Apartamento;Chicó Navarra;1190000000
4;3;2;275 m²;275 m²;5;Bueno;más de 30 años;$ 200.000 COP;$ 3.490.909,09*m²;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;0;1;Casa;Pontevedra;960000000
4;3;2;120 m²;110 m²;5;Excelente;16 a 30 años;$ 500.000 COP;$ 3.332.500*m²;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Bella suiza;399900000
3;3;3;191 m²;191 m²;6;Excelente;más de 30 años;$ 960.000 COP;$ 7.068.062,83*m²;1;0;0;1;0;0;1;0;1;0;1;1;0;1;0;0;0;0;Apartamento;El Refugio;1350000000
2;2;1;59 m²;59 m²;3;Bueno;16 a 30 años;$ 278.500 COP;$ 4.322.033,9*m²;0;1;1;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;Apartamento;Prado Pinzon;255000000
1;1;1;40 m²;40 m²;3;Bueno;16 a 30 años;$ 141.000 COP;$ 7.000.000*m²;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;Apartamento;zona centro;280000000
2;2;2;70 m²;61 m²;4;No definida;menor a 1 año;$ 420.000 COP;$ 7.428.571,43*m²;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;Apartamento;Pardo rubio;520000000
3;2;1;65 m²;65 m²;4;Excelente;9 a 15 años;$ 170.000 COP;$ 4.152.307,69*m²;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;San Antonio Norte;269900000
2;1;1;63 m²;63 m²;4;No definida;más de 30 años;$ 387.000 COP;$ 3.968.253,97*m²;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;Apartamento;Cedro Golf;250000000
3;2;0;110 m²;110 m²;3;No definida;No definida;No definida;$ 2.181.818,18*m²;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;Apartamento;La Aurora;240000000
5;3;1;200 m²;160 m²;4;Bueno;más de 30 años;No definida;$ 3.500.000*m²;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;Casa;Palermo;700000000
3;3;2;120 m²;120 m²;6;No definida;16 a 30 años;$ 688.000 COP;$ 5.666.666,67*m²;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;Apartamento;Chico norte;680000000
3;3;1;75 m²;67 m²;4;Bueno;9 a 15 años;$ 260.000 COP;$ 4.600.000*m²;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;Apartamento;Villa alsacia;345000000
1;1;1;33 m²;33 m²;3;No definida;1 a 8 años;$ 220.000 COP;$ 7.272.727,27*m²;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;0;0;0;Apartamento;Chapinero central;240000000
3;2;0;51 m²;51 m²;2;Excelente;9 a 15 años;$ 70.000 COP;$ 2.350.980,39*m²;0;1;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;Apartamento;Bosa San Diego;119900000
2;1;1;49 m²;0 m²;3;No definida;16 a 30 años;No definida;$ 5.918.367,35*m²;0;1;0;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;Apartamento;Tabora;290000000
3;2;0;55 m²;50 m²;3;Excelente;9 a 15 años;$ 109.000 COP;$ 4.000.000*m²;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;1;0;Apartamento;Zona Noroccidente;220000000
3;2;1;60 m²;60 m²;4;No definida;16 a 30 años;$ 291.000 COP;$ 5.666.666,67*m²;1;0;1;1;0;0;1;0;1;0;1;1;0;0;0;1;0;0;Apartamento;Usaquén;340000000
2;1;1;52 m²;52 m²;4;Bueno;más de 30 años;$ 207.000 COP;$ 4.038.461,54*m²;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;Apartamento;Caobos salazar;210000000
